source,type,target,provider,account_id,tech_family
presto-recon.data-engineering.myteksi.net.,CNAME,presto-recon-3az-0a74e35d64c65b1a.elb.ap-southeast-1.amazonaws.com,AWS,,
preston.data-engineering.myteksi.net.,A,ingress.prd-eks-presto-001.data-engineering.myteksi.net.,AWS,,
presto-ranger.data-engineering.myteksi.net.,A,ingress.prd-eks-presto-001.data-engineering.myteksi.net.,AWS,,
bob.prod.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-tableau-critical.data-engineering.myteksi.net.,CNAME,presto-tableau-critical-qubole.data-engineering.myteksi.net,AWS,,
presto-slide-pa.data-engineering.myteksi.net.,CNAME,presto-slide-pa-qubole.data-engineering.myteksi.net.,AWS,,
query-parser.data-engineering.myteksi.net.,A,ingress.prd-0001-eks.data-engineering.myteksi.net.,AWS,,
query-router-old.data-engineering.myteksi.net.,A,ingress.prd-eks-presto-001.data-engineering.myteksi.net.,AWS,,
slide-aa.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-ba.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-ce.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-crm.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-de.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-dm-benchmark.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-dm-testing.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-dm.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-econs.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-gfstrategy.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-ma.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-mex.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-pma.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-pa.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-product-analytics-02.data-engineering.myteksi.net.,CNAME,presto-product-analytics-02-qubole.data-engineering.myteksi.net,AWS,,
staging.data-engineering.myteksi.net.,NS,"ns-1756.awsdns-27.co.uk.,ns-226.awsdns-28.com.,ns-992.awsdns-60.net.,ns-1125.awsdns-12.org.",AWS,,
slide-rahul-testing.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
slide-xly.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
