source,type,target,provider,account_id,tech_family
npm-e.grab-bat.net.,A,dualstack.internal-bpa-api-1735893818.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
npm.grab-bat.net.,A,10.198.235.220,AWS,392368127043,
ph-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
phieuguige.grab-bat.net.,A,dualstack.ge-consignment-720665076.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
po2inv-micro.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
qr-verify.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
rabbitmq.grab-bat.net.,A,10.198.233.221,AWS,392368127043,
removed-vpn.grab-bat.net.,A,3.1.41.21,AWS,392368127043,
sf-form-uat.grab-bat.net.,A,dualstack.bat-staging-balancer-403124488.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
sf-forms-api-stg.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
sf-forms-api.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
sf-forms-stg.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
sftp-staging.grab-bat.net.,CNAME,s-a164ccaaadc145e58.server.transfer.ap-southeast-1.amazonaws.com,AWS,392368127043,
sftp.grab-bat.net.,CNAME,s-52557a970f0c41938.server.transfer.ap-southeast-1.amazonaws.com,AWS,392368127043,
sftp2.grab-bat.net.,CNAME,s-2799ae2311a0429d8.server.transfer.ap-southeast-1.amazonaws.com,AWS,392368127043,
sg-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
sg-gfb-promo.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
sg-wallet-compliance.grab-bat.net.,A,vpce-07e4354e40760d879-7r1i1ej9.vpce-svc-029c5f06d95b5dc7c.ap-southeast-1.vpce.amazonaws.com.,AWS,392368127043,
smp.grab-bat.net.,A,dn65yfhy01p1g.cloudfront.net.,AWS,392368127043,
sonarqube.grab-bat.net.,A,10.198.233.184,AWS,392368127043,
staging-bpa-api.grab-bat.net.,A,dualstack.internal-staging-bpa-749798175.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
staging-files.grab-bat.net.,A,d5s2ve67l0ptm.cloudfront.net.,AWS,392368127043,
staging-phieuguige.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
staging-sftp.grab-bat.net.,CNAME,s-a164ccaaadc145e58.server.transfer.ap-southeast-1.amazonaws.com,AWS,392368127043,
staging-vtb.grab-bat.net.,A,d2i33ld5bs1878.cloudfront.net.,AWS,392368127043,
staging.grab-bat.net.,A,dualstack.internal-staging-bpa-749798175.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
stg-gfp-promo.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
test-batman.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
th-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
unduhspt-beta.grab-bat.net.,A,dualstack.id-tax-240351472.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
vn-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
vtb.grab-bat.net.,A,d1obunzn363guq.cloudfront.net.,AWS,392368127043,
workchat-sg.grab-bat.net.,A,dualstack.bat-staging-balancer-403124488.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
xm.grab-bat.net.,A,vpce-0804d8f765a6a692e-72efjtcg.vpce-svc-0369f20a81f7ff14b.ap-southeast-1.vpce.amazonaws.com.,AWS,392368127043,
grabweb.co.,NS,"ns-157.awsdns-19.com.,ns-1340.awsdns-39.org.,ns-837.awsdns-40.net.,ns-1747.awsdns-26.co.uk.",AWS,848785576880,
grabweb.co.,SOA,ns-157.awsdns-19.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,848785576880,
\052.dev.grabweb.co.,A,df3jx0mz19cie.cloudfront.net.,AWS,848785576880,
_259064b3b8dda25bf253fbc67a440250.dev.grabweb.co.,CNAME,_2b514b28f30163abab14eff896211b0e.tljzshvwok.acm-validations.aws.,AWS,848785576880,
drone.grabweb.co.,CNAME,a38f0a9dea33611e786e906c7133cc73-1026744283.ap-southeast-1.elb.amazonaws.com,AWS,848785576880,
ge-delivery-test.grabweb.co.,A,dvoispmv32jb6.cloudfront.net.,AWS,848785576880,
_556e93e85b6c2619dde8ecba9b7c0c2c.ge-delivery-test.grabweb.co.,CNAME,_0b816820a17973e3db80dd67101da6d4.hkvuiqjoua.acm-validations.aws.,AWS,848785576880,
spa.grabweb.co.,A,d336oap8wvf2yz.cloudfront.net.,AWS,848785576880,
_d40589b5f2cf0f9ddfc91aa7b7d40f57.spa.grabweb.co.,CNAME,_eaeb8fe708aa689f2946503e66cc8187.ltfvzjuylp.acm-validations.aws.,AWS,848785576880,
spa2.grabweb.co.,A,d3i63z3qdquerr.cloudfront.net.,AWS,848785576880,
_0bd30a64e28ceab752c2321eaaeb3f11.spa2.grabweb.co.,CNAME,_16b273706c53d1f0ac2cb32cdf0d02df.ltfvzjuylp.acm-validations.aws.,AWS,848785576880,
webkit.stg-myteksi.com.,NS,"ns-79.awsdns-09.com.,ns-562.awsdns-06.net.,ns-1559.awsdns-02.co.uk.,ns-1473.awsdns-56.org.",AWS,848785576880,
webkit.stg-myteksi.com.,SOA,ns-79.awsdns-09.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,848785576880,
\052.webkit.stg-myteksi.com.,A,df3jx0mz19cie.cloudfront.net.,AWS,848785576880,
_7e06b729017e3521a466d5ab21456566.webkit.stg-myteksi.com.,CNAME,_e121710c43e01e21c54d2811cec9ed88.tljzshvwok.acm-validations.aws.,AWS,848785576880,
grab-platform.com.,NS,"ns-96.awsdns-12.com.,ns-1418.awsdns-49.org.,ns-1683.awsdns-18.co.uk.,ns-724.awsdns-26.net.",AWS,169059855605,
grab-platform.com.,SOA,ns-96.awsdns-12.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,169059855605,
